FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
64,Fire Station 64,10811 S. MAIN ST,90061,FIRE,10811,S,MAIN,ST,,,6478455.999988559633493,1799944.000126299913973
69,Fire Station 69,15045 SUNSET BLVD,90272,FIRE,15045,,SUNSET,BLVD,,,6403562.999840480275452,1839013.000072140013799
70,Fire Station 70,9861 RESEDA BLVD,91324,FIRE,9861,,RESEDA,BLVD,,,6399561.999968480318785,1913586.999873969936743
82,Fire Station 82,5769 HOLLYWOOD BLVD,90028,FIRE,5769,,HOLLYWOOD,BLVD,,,6465498.999983980320394,1860200.000020880019292
35,Fire Station 35,1601 N HILLHURST AVE,90027,FIRE,1601,N,HILLHURST,AVE,,,6474558.999908570200205,1858902.999990209937096
71,Fire Station 71,107 S BEVERLY GLEN BLVD,90024,FIRE,107,S,BEVERLY GLEN,BLVD,,,6429783.9998918203637,1851971.000074709998444
72,Fire Station 72,6811 DE SOTO AVE,91303,FIRE,6811,,DE SOTO,AVE,,,6383625.000018400140107,1893486.00004979991354
73,Fire Station 73,7419 RESEDA BLVD,91335,FIRE,7419,,RESEDA,BLVD,,,6399489.000114490278065,1897468.999957799911499
74,Fire Station 74,7777 FOOTHILL BLVD,91042,FIRE,7777,,FOOTHILL,BLVD,,,6470476.999870480038226,1916646.999987540068105
75,Fire Station 75,15345 SAN FERNANDO MISSION BLV,91345,FIRE,15345,,SAN FERNANDO MISSION,BLVD,,,6420707.000001239590347,1921863.000054209958762
76,Fire Station 76,3111 N CAHUENGA BLVD WEST,90068,FIRE,3111,N,CAHUENGA,BLVD,W,,6457008.999903650023043,1868669.000143219949678
77,Fire Station 77,9224 SUNLAND BLVD,91352,FIRE,9224,,SUNLAND,BLVD,,,6450759.36903022043407,1908576.544671799987555
78,Fire Station 78,4041 WHITSETT AVE,91604,FIRE,4041,,WHITSETT,AVE,,,6438895.575172560289502,1875197.280721799936146
79,Fire Station 79,18030 S VERMONT AVE,90248,FIRE,18030,S,VERMONT,AVE,,,6473538.999980060383677,1774632.999895380111411
80,Fire Station 80,7250 WORLD WAY WEST,90045,FIRE,7250,,WORLD,WAY,W,,6436608.664392069913447,1802182.153130290098488
7,Fire Station 7,14123 NORDHOFF ST,91331,FIRE,14123,,NORDHOFF,ST,,,6428745.000001310370862,1908407.000063369981945
3,Fire Station 3,108 N. FREMONT AVE,90012,FIRE,108,N,FREMONT,AVE,,,6485335.809391650371253,1843771.558468390023336
66,Fire Station 66,1909 W SLAUSON BLVD,90047,FIRE,1909,W,SLAUSON,BLVD,,,6467219.000152899883687,1818678.000059799989685
